,ts_code,name,enname,list_status,list_date,delist_date
155,000571.SZ,*ST大洲,"Sundiro Holding Co.,Ltd.",L,19940525,
156,000572.SZ,ST海马,"Haima Automobile Co.,Ltd.",L,19940808,
157,000573.SZ,粤宏远A,DongGuan Winnerway Industry Zone LTD.,L,19940815,
158,000576.SZ,广东甘化,"Jiangmen Sugarcane Chemical Factory (Group) Co.,Ltd",L,19940907,
159,000581.SZ,威孚高科,"Weifu High-Technology Group Co.,Ltd.",L,19980924,
160,000582.SZ,北部湾港,"Beibu Gulf Port Co., Ltd.",L,19951102,
161,000584.SZ,哈工智能,"Jiangsu Hagong Intelligent Robot Co.,Ltd",L,19951128,
162,000585.SZ,*ST东电,Northeast Electric Development Company Limited,L,19951213,
163,000586.SZ,汇源通信,"Sichuan Huiyuan Optical Communications Co.,Ltd.",L,19951220,
164,000587.SZ,*ST金洲,"Jinzhou Cihang Group Co., Ltd",L,19960425,
165,000589.SZ,贵州轮胎,"Guizhou Tyre Co.,Ltd.",L,19960308,
166,000590.SZ,启迪古汉,"Tus-Guhan Group Corp., Ltd.",L,19960119,
167,000591.SZ,太阳能,"CECEP Solar Energy Co.,Ltd.",L,19960208,
168,000592.SZ,平潭发展,Zhongfu Straits (Pingtan) Development Company Limited,L,19960327,
169,000593.SZ,大通燃气,"Sichuan Datong Gas Development Co., Ltd.",L,19960312,
170,000595.SZ,*ST宝实,"Baota Industry Co.,Ltd.",L,19960419,
171,000596.SZ,古井贡酒,Anhui Gujing Distillery Company Limited,L,19960927,
172,000597.SZ,东北制药,"Northeast Pharmaceutical Group Co., Ltd.",L,19960523,
173,000598.SZ,兴蓉环境,"Chengdu Xingrong Environment Co., Ltd.",L,19960529,
174,000599.SZ,青岛双星,"Qingdao Doublestar Co.,Ltd",L,19960430,
175,000600.SZ,建投能源,"Jointo Energy Investment Co.,Ltd.Hebei.",L,19960606,
176,000601.SZ,韶能股份,"Guangdong Shaoneng Group Co.,Ltd.",L,19960830,
177,000603.SZ,盛达资源,"Shengda Resources Co.,Ltd.",L,19960823,
178,000605.SZ,渤海股份,"Bohai Water Industry Co., Ltd.",L,19960913,
179,000606.SZ,顺利办,"Shunliban Information Service Co., Ltd",L,19961004,
180,000607.SZ,华媒控股,"Zhejiang Huamei Holding Co., Ltd.",L,19960830,
181,000608.SZ,阳光股份,"Yang Guang Co., Ltd.",L,19960919,
