code,leverage,sharpe_ratio_20,ROC20,VOL20,liquidity,BIAS20,residual_volatility,MFI14,earnings_yield,momentum,ATR,MTM,MACD,RSI,PSY,CYR
600056.XSHG,-1.019547,1.092531,3.62776,0.7635,-0.676867,9.390609,0.280343,81.967615,0.712498,-0.058256,0.1978571428571429,0.33999999999999986,0.0864433990643021,72.37850196182166,66.66666666666666,0.3605278376171528
600058.XSHG,0.143561,0.735122,2.736156,1.0725,0.040026,8.22496,0.303959,90.476431,-1.378443,-0.284882,0.20785714285714277,0.8599999999999994,0.29336203083321727,86.69732167883046,66.66666666666666,2.368630515586112
600059.XSHG,-0.987263,0.97943,2.857143,1.4025,0.742316,6.813606,-0.145879,77.863004,-1.970208,0.702064,0.42142857142857143,0.11999999999999922,0.45512040393675235,72.73172310904476,75.0,0.620334342110529
600060.XSHG,-0.916418,0.012799,0.260078,1.7075,0.400023,6.853302,1.359725,73.384183,0.422006,0.911552,0.05857142857142856,0.1200000000000001,0.04073693307161695,79.13241240690431,58.333333333333336,0.2776958914417982
600061.XSHG,-0.911521,1.680347,4.321608,0.6605,-0.648283,8.976378,-0.086062,67.229688,-2.567137,0.741358,0.18714285714285728,-0.22000000000000064,0.11743394527353868,71.91574540719279,66.66666666666666,0.4698835670580159
600062.XSHG,-1.088871,0.620835,1.980198,0.7795,-0.252516,6.704652,0.538885,90.058475,-1.139576,0.359539,0.19000000000000014,0.56,-0.030407909753919826,59.994495309997575,58.333333333333336,0.10455702743836781
600063.XSHG,0.4509,-0.546775,-1.968504,1.368,-0.02534,7.212056,-0.139302,77.640362,-0.397584,-0.444446,0.12642857142857153,0.1800000000000006,0.04132524565499474,68.30534725261714,75.0,0.25564033444349654
600064.XSHG,0.313026,2.531927,5.966587,0.948,-0.42988,8.504399,-0.662749,84.460591,0.277214,-0.371012,0.2857142857142855,-0.2599999999999998,0.20509683647744537,70.26032176482192,66.66666666666666,0.2771347766351129
600066.XSHG,-0.743221,10.495869,11.898734,0.8015,-0.381466,6.711733,-0.186584,71.335659,0.426743,0.17217,0.8014285714285714,-2.169999999999998,0.804186862537299,67.97640582998696,66.66666666666666,0.4192580710352001
600067.XSHG,0.430105,7.09917,13.944223,2.1755,0.849294,10.970996,1.27279,86.023395,1.382666,0.005995,0.46142857142857147,0.11000000000000121,0.34662899782871326,64.2679602443915,66.66666666666666,0.3083100971440045
600068.XSHG,2.098005,11.57082,16.139241,1.466,0.736336,16.443246,-0.083673,89.806314,0.487522,0.399516,0.10285714285714291,0.18999999999999995,0.08382315795675403,70.20586907957687,75.0,0.5020076006154728
600069.XSHG,-0.373973,1.012265,3.688525,2.0105,0.729279,9.476417,0.24463,87.057239,-1.646977,0.613164,0.11642857142857142,-0.14000000000000012,0.07420334992500255,63.65978329737075,58.333333333333336,0.36769973352419605
600072.XSHG,-0.676015,-0.490718,-1.545894,0.4815,-1.210525,6.024347,-0.496364,70.929548,-2.050372,-0.351971,0.1892857142857143,0.47999999999999954,0.19053019366667803,75.90850223202395,66.66666666666666,0.522067479150512
600073.XSHG,-0.595824,9.598883,13.424125,1.289,0.096825,7.11005,0.700427,67.259894,-2.549056,0.150159,0.14499999999999996,0.3700000000000001,0.10080935308856398,81.34623398478342,75.0,0.6303649658172539
600074.XSHG,2.335084,0.631996,2.135231,1.136,-0.273588,5.884523,-0.602232,79.736253,-2.033807,-0.243054,0.14142857142857151,0.5099999999999998,0.05554719655889176,71.09964096137512,66.66666666666666,0.28263361062377257
600075.XSHG,-0.288156,-0.365755,-1.015228,2.0,0.744024,6.303237,0.869865,78.224072,-1.140884,0.455961,0.525,1.2100000000000009,0.0935166027096771,77.10707327686175,66.66666666666666,0.9340117016786831
600078.XSHG,-0.087777,1.405291,5.049088,1.952,0.5774,12.159329,0.18716,81.687663,-0.996345,-0.473729,0.3207142857142857,0.1800000000000006,0.4123119666896916,82.13275674619449,83.33333333333334,1.262624079055863
600079.XSHG,-0.966495,2.666015,6.20155,1.1535,0.337455,6.794855,1.825032,78.733371,-1.516636,1.082629,1.1828571428571435,0.5300000000000011,0.7867574544520752,78.1383895566116,75.0,0.5462973000293525
600082.XSHG,-0.220646,1.833387,6.095238,0.9575,-0.699581,15.356736,0.268233,84.319252,-1.446056,-0.383966,0.13714285714285732,0.2600000000000007,0.06336065259372947,80.40231921047912,75.0,0.33256451303766976
600085.XSHG,-1.113521,2.029378,4.225352,0.755,-0.223588,6.277302,0.784105,72.925805,-1.430724,0.505867,0.3999999999999998,1.0899999999999999,0.39382742244426866,80.6118061526163,75.0,1.0398861253321012
600086.XSHG,1.368855,5.430998,10.702341,3.5635,1.286145,11.372813,0.387299,70.992826,-2.418947,0.140566,0.2092857142857142,0.41000000000000014,0.14832161440072017,75.93142200532587,66.66666666666666,0.584212765951797
600087.XSHG,2.335084,-0.217454,-0.33557,1.684,0.643834,5.920114,-0.494565,74.221456,-0.881777,-0.433065,0.2164285714285715,-0.21999999999999975,0.1987789422181342,71.40880696088232,66.66666666666666,0.29031099837426577
600088.XSHG,-1.033484,-1.337045,-12.837345,2.998,1.457238,5.337388,2.098141,78.393088,-1.861515,1.081951,0.2650000000000002,0.09999999999999964,0.07979046544493468,64.86037283313509,66.66666666666666,0.09882182250029459
600089.XSHG,-0.273976,-0.622658,-2.274975,1.09,0.350325,7.854375,-0.4154,80.44341,0.084929,-0.314536,0.2314285714285715,0.5899999999999999,0.14390094000783726,70.91275726927438,50.0,0.6618493784021018
600096.XSHG,2.335084,-0.841067,-4.458977,2.859,1.149722,4.731491,-0.053808,77.038374,-0.72004,-1.048745,0.18999999999999995,-0.17999999999999972,0.05984156009225178,60.06591938009163,58.333333333333336,0.14096648119035216
600100.XSHG,-0.289034,-0.383291,-5.253456,1.386,1.008175,5.117849,1.552318,79.205033,-1.651516,0.871602,0.20214285714285715,0.2400000000000002,0.08385442971750821,62.42198023985222,50.0,0.2975146054032596
600102.XSHG,1.120224,2.111269,5.595238,5.3615,1.477453,1.778543,1.752836,55.621784,0.64377,-0.707803,0.572857142857143,-0.019999999999999574,0.6454715290293225,73.98256738910544,75.0,0.6620900300538635
600103.XSHG,-0.786166,0.412979,1.305483,1.0175,-0.105432,4.794058,-0.858071,64.041342,-2.712398,0.03414,0.3257142857142856,0.6400000000000006,0.42244151261584784,81.97449177855124,75.0,1.0029443473769106
600104.XSHG,-0.260378,22.865069,19.041916,0.2335,-0.985017,8.901671,0.033294,88.466721,1.382666,0.022961,0.20999999999999983,-0.22999999999999954,0.14224828503983628,62.724399567892476,66.66666666666666,0.21439539679666275
600106.XSHG,2.335084,-1.14789,-5.637255,2.428,0.974866,4.904632,0.75538,72.262246,-1.422966,0.836695,0.3000000000000001,0.120000000000001,0.2363889492740961,65.89567917216223,66.66666666666666,0.2566381624514058
600107.XSHG,-0.781633,1.558245,4.347826,1.634,0.620913,9.115103,-0.067693,84.304371,-0.786733,-0.565486,0.1435714285714283,0.05999999999999961,0.07609308027138506,64.00621961741405,58.333333333333336,0.19189144539162317
