code,code,MC,CMC,TR,PE,PB,PR,ROE,DER,NPTTR,GPM,ETTR,OETTR,GETTR,OPTP,APTP,GSASTR,ITRYOY,IRYOY,IOPYOY,INPYOY,INPA,INPTSA,PS,GP,OP,OR,NP,EV,TOE,TOR,EBIT,TOC,NOCF/MC,OTR,GPOA,OPM,NPM,ROA,INC,EPS,AP,VCP,OPTTR,FETTR,IPTP,OTOP,ITRA,IRA,IOPA,INPTSYOY,ROIC,OPTT,TP/TOR,OP/TOR,NP/TOR,TA,FCFF/TNCL,NOCF/TL,TCA/TCL,TOR/TA,TOR/FA,TOR/TCA,LTL/OC,TL/TA,TL/TOE
000078.XSHE,000078.XSHE,41.6302,41.5698,0.5906,67.8318,4.9308,27.4841,3.21,5.10941419,2.49,18.15,97.59,7.9,4.81,75.94,0.49415216,123.06,16.53,16.53,99.17,60.09,-4.75,10.1,0.7163,26669717468.2661,35455012.0,1469405952.0,36560496.0,1810365113.6302,1044691712.0,1469405952.0,84111407.0,1433950976.0,-188562.26025897,-0.53,4.9770894,0.02453213,2.49,0.7,2.17,0.0408,18066448.0,592638.75,2.45,2.55,1.27,-22.14,-11.13,-11.13,-16.47,47.67,0.02792659,0.77213298,0.03177189,0.02453213,0.02488114,5358496768.0,5.71333286,-0.00181971,1.00466389,0.27421981,3.64726015,0.33948049999999996,0.0,0.8050401999999999,4.12926154
000088.XSHE,000088.XSHE,81.7666,81.7595,0.1594,22.0537,1.8847,-28.5842,2.17,0.09213647,135.69,63.17,54.66,,17.72,30.55,0.90363708,106.26,-3.06,-3.06,-3.88,-2.38,22.12,21.48,24.0038,5082286613.0841,36476000.0,80454120.0,109166888.0,,4656552960.0,80454120.0,116446054.75,43978120.0,317221.25543121,32.24,1.00514423,1.48475041,135.69,2.06,2.17,0.0508,98647248.0,82978288.0,148.48,-3.67,69.5,71.11,0.76,0.76,21.4,-2.15,,1.00049677,1.4840132,1.48475041,1.35688375,5056275968.0,-1.088393,0.06489019,5.89076509,0.01591173,0.43356669,0.12049705,4.37032169,0.07905483,0.08584097
000090.XSHE,000090.XSHE,34.9099,34.9096,1.2588,17.1625,1.0298,3.7693,1.47,1.57960564,6.74,24.57,91.4,1.11,4.6,92.4,1.13600692,131.57,-2.12,-2.12,118.84,96.51,-52.79,-52.79,1.2097,17234794148.1724,60308888.0,701456832.0,47289624.0,,3389884928.0,701456832.0,78792413.0,641147968.0,4359720.45464327,21.7,1.97091481,0.09157602,6.74,0.58,1.67,0.0941,53721340.0,3927737.75,9.16,1.93,6.02,252.36,10.34,10.34,-27.43,96.51,,0.98413372,0.09305241,0.09157602,0.0674163,8744565760.0,0.07189721,0.02842324,1.34561002,0.08021631,4.47810739,0.1187286,,0.61234388,1.57960564
000099.XSHE,000099.XSHE,42.9883,42.9883,1.6485,30.3112,2.4636,107.5295,1.81,0.50932737,11.88,26.09,86.47,,7.05,85.07,0.91939767,85.71,12.38,12.38,-14.12,-1.2,-14.9,-13.91,4.0597,6952922424.6643,36062000.0,266497600.0,31668166.0,,1777387008.0,266497600.0,48005125.5,230435600.0,826691.34933404,13.34,2.60787808,0.13531829,11.88,1.18,1.67,0.0614,29115638.0,,13.53,2.11,,98.55,10.74,10.74,-27.31,2.97,,0.85068563,0.15906968,0.13531829,0.11883096,2666122496.0,0.08344322,0.03998721,3.04379462,0.099957,0.16128604,0.33606746,3.18956064,0.33334386,0.50002366
000100.XSHE,000100.XSHE,159.3529,149.2555,0.5914,21.0406,1.4258,-4.8794,2.16,4.56291817,2.68,15.6,100.51,8.89,4.99,-16.59,-0.03985753,121.27,9.15,8.85,-110.73,-17.09,472.17,535.78,0.2518,237227513512.9688,-77577104.0,15206891520.0,408401216.0,30002766455.3529,19237515264.0,15260089344.0,674014208.0,15337666560.0,8701842.82878677,9.12,3.37757701,-0.00207964,2.69,0.58,-0.14,0.0288,-16277864.0,45952184.0,-0.21,1.35,9.83,-1787.47,4.89,4.83,-20.28,-22.57,0.01437148,-0.06762245,0.03064654,-0.00207239,0.0267627,70236004352.0,0.22931738,0.02719029,1.11670686,0.21726876,1.03138983,0.36352003,0.63668078,0.72610186,2.65099169
000157.XSHE,000157.XSHE,693.5359,564.6655,0.8803,7.6554,1.7757,-61.5952,9.23,1.23684129,20.71,35.32,75.77,5.33,3.08,100.84,0.98305024,83.66,30.55,30.55,39.19,38.47,70.84,69.15,1.3521,618473615832.5156,4242048000.0,17510578176.0,3626235648.0,15602878133.5359,39325040640.0,17510578176.0,4354245760.0,13268530176.0,2924419.05477162,11.58,7.05750462,0.24339236,20.71,4.39,9.31,0.4585,3564771840.0,19892918.0,24.34,0.84,0.47,47.81,50.84,50.84,67.7,35.66,0.07501712,1.01316403,0.24022997,0.24339236,0.20708829,87633469440.0,0.28811576,0.04198417,1.59877226,0.1998161,4.02235418,0.27970239,0.30359131,0.55125551,1.22843949
000158.XSHE,000158.XSHE,24.7288,24.7288,0.2897,-3366.0374,1.0414,63.5544,-0.85,1.35306577,-2.05,6.82,102.02,1.68,3.02,100.56,1.11280524,92.62,-9.49,-9.49,-806.15,-475.14,-3.8,-3.6,0.5505,6730023745.7166,-19906208.0,986806976.0,-20240974.0,,2375250944.0,986806976.0,15663858.2812,1006713152.0,-4520296.04404161,-11.33,1.20430912,-0.02001145,-2.05,-0.35,-0.94,-0.0281,-22524262.0,158769.5,-2.0,3.59,-0.8,561.54,-4.15,-4.15,19.34,-473.38,,0.99757752,-0.02006005,-0.02001145,-0.02051158,5588285952.0,0.10831593,-0.034789999999999995,1.19253952,0.17658491,0.65649762,0.32419611,0.01302182,0.57495899,1.35271402
000159.XSHE,000159.XSHE,37.0958,37.0958,0.5219,12.1198,1.8369,-7.7368,0.84,0.50924238,4.31,15.39,94.94,1.84,2.54,98.01,0.55472896,96.26,74.75,74.75,-59.28,-64.78,-35.98,-37.03,2.3,6267903415.3455,20622570.0,407271168.0,17546688.0,,2084888192.0,407271168.0,32517845.25,386648608.0,-792236.0265676999,-7.22,1.99754751,0.05073894,4.31,0.56,0.47,0.0358,9733656.0,41937.9102,5.07,2.82,0.2,-142.51,19.87,19.87,-24.24,-64.9,,0.98210572,0.05166342,0.05073894,0.04308355,3137799424.0,-2.05087563,-0.02791178,1.94116661,0.12979516,1.38042749,0.20054239,,0.33555719,0.50502045
000301.XSHE,000301.XSHE,36.7907,36.7907,0.307,27.1145,1.3939,-115.0041,2.03,0.32053382,23.55,32.94,72.02,1.73,8.08,90.96,0.81714598,158.04,2.74,2.74,14.24,13.15,73.39,73.28,3.3757,7436109295.7435,63170056.0,225747104.0,53163284.0,,2642970368.0,225747104.0,63403264.0,162577056.0,6389646.68671396,104.13,2.13129231,0.30635021,23.55,1.52,1.66,0.0436,43442164.0,5987610.5,30.64,-2.68,8.62,372.14,14.23,14.23,66.87,13.05,,0.99585264,0.30762604,0.30635021,0.2354993,3489014272.0,1.48156529,0.27785745,1.91600154,0.06470226,0.86256727,0.18219174,0.30714306,0.24248791,0.32011096
000338.XSHE,000338.XSHE,405.0601,168.0219,1.3412,10.1456,1.6476,16.4316,3.6,1.22754866,6.91,18.74,92.08,5.66,5.29,95.36,0.89083512,77.27,-25.58,-25.58,-49.35,-49.8,-19.01,-14.92,0.8029,253437103920.3145,1071453056.0,13523858432.0,934712960.0,3865284853.0601,30730090496.0,13523858432.0,1127084028.75,12452405248.0,4313215.42399557,12.92,4.16094784,0.08000546,6.91,1.51,3.44,0.5235,832675136.0,10529450.0,8.0,0.03,0.94,163.06,-0.09,-0.09,-17.87,-47.21,0.03179985,0.96298665,0.08308055,0.08000546,0.06911585,60908503040.0,0.64993481,0.05789275,1.51600147,0.22203564,1.33229559,0.32959218,0.02001947,0.49547126,0.98204763
000400.XSHE,000400.XSHE,65.3654,45.8222,1.5304,34.2612,2.5195,55.2556,3.68,1.52846255,8.91,25.36,89.06,3.62,7.91,97.58,0.68523499,86.59,80.69,80.69,82.12,45.93,202.2,602.84,1.1895,39346655267.6152,169681056.0,1551524224.0,138213328.0,,2977662720.0,1551524224.0,201281592.0,1381843200.0,-505852.92641301,-2.13,5.66697336,0.10967729,8.91,1.99,3.69,0.2499,94708608.0,485925.4688,10.97,1.77,0.28,-19.49,56.62,56.62,173.17,49.74,,0.97860616,0.11207501,0.10967729,0.08908229,6943151616.0,-0.01764103,-0.00833826,1.85634359,0.22346109,1.85664468,0.2704594,0.15974267,0.57113669,1.3317454
